j        x                     y                  y_increase        exact             error             error_incr   

0        0.0000000000          0.0000000000       0.0000000000      0.0000000000      0.0000000000      0.0000000000  
1        0.0062500000          0.2985857434       0.2998853863      0.2998594117      0.0012736684      0.0000259746  
2        0.0125000000          0.5270962202       0.5292943985      0.5292500042      0.0021537839      0.0000443943  
3        0.0187500000          0.6978659427       0.7006490806      0.7005922340      0.0027262914      0.0000568466  
4        0.0250000000          0.8212995577       0.8244252652      0.8243606354      0.0030610776      0.0000646298  
5        0.0312500000          0.9061549237       0.9094384363      0.9093696341      0.0032147104      0.0000688021  
6        0.0375000000          0.9597863251       0.9630892843      0.9630190625      0.0032327374      0.0000702217  
7        0.0437500000          0.9883532834       0.9915744778      0.9915048964      0.0031516130      0.0000695814  
8        0.0500000000          0.9969996891       1.0000674368      1.0000000000      0.0030003109      0.0000674368  
9        0.0562500000          0.9900073444       0.9928732462      0.9928090154      0.0028016710      0.0000642307  
10       0.0625000000          0.9709274570       0.9735612923      0.9735009788      0.0025735218      0.0000603135  
11       0.0687500000          0.9426931434       0.9450787173      0.9450227583      0.0023296149      0.0000559590  
12       0.0750000000          0.9077155893       0.9098473691      0.9097959896      0.0020804002      0.0000513796  
13       0.0812500000          0.8679661535       0.8698465583      0.8697998213      0.0018336679      0.0000467369  
14       0.0875000000          0.8250463888       0.8266836196      0.8266414673      0.0015950785      0.0000421523  
15       0.0937500000          0.7802476872       0.7816540011      0.7816162869      0.0013685997      0.0000377142  
16       0.1000000000          0.7346020181       0.7357923673      0.7357588823      0.0011568642      0.0000334850  
17       0.1062500000          0.6889250303       0.6899159997      0.6898864931      0.0009614629      0.0000295065  
18       0.1125000000          0.6438526099       0.6446615974      0.6446357929      0.0007831831      0.0000258044  
19       0.1187500000          0.5998718380       0.6005164317      0.6004940400      0.0006222021      0.0000223917  
20       0.1250000000          0.5573471574       0.5578446722      0.5578254004      0.0004782430      0.0000192718  
21       0.1312500000          0.5165424477       0.5169095885      0.5168931474      0.0003506997      0.0000164411  
